104,16427,4158205,-136.00,-884.00,508.00,390.00,262.00,-249.00
106,16605,4158383,-148.00,-868.00,540.00,389.00,259.00,-254.00
106,16782,4158561,-104.00,-876.00,368.00,383.00,245.00,-266.00
106,16959,4158738,-96.00,-940.00,700.00,380.00,253.00,-266.00
104,17137,4158915,-132.00,-932.00,500.00,378.00,239.00,-275.00
106,17314,4159093,-124.00,-888.00,536.00,366.00,228.00,-289.00
106,17492,4159270,-100.00,-876.00,540.00,363.00,226.00,-302.00
103,17669,4159449,-96.00,-840.00,576.00,351.00,211.00,-311.00
106,17846,4159625,-88.00,-836.00,584.00,344.00,198.00,-320.00
106,18022,4159802,-28.00,-856.00,604.00,349.00,186.00,-325.00
104,18199,4159979,-92.00,-792.00,680.00,342.00,160.00,-334.00
107,18375,4160155,-72.00,-764.00,704.00,338.00,153.00,-339.00
106,18552,4160332,-80.00,-740.00,724.00,330.00,124.00,-347.00
108,18727,4160508,-64.00,-700.00,796.00,322.00,94.00,-359.00
106,18904,4160685,-40.00,-604.00,816.00,302.00,62.00,-373.00
106,19079,4160861,-84.00,-520.00,860.00,302.00,28.00,-370.00
107,19254,4161036,-80.00,-560.00,920.00,304.00,7.00,-364.00
105,19429,4161211,-60.00,-528.00,888.00,303.00,-3.00,-367.00
106,19605,4161386,-28.00,-536.00,892.00,290.00,-3.00,-370.00
105,19781,4161562,-16.00,-488.00,888.00,284.00,-17.00,-368.00
103,19958,4161739,-68.00,-496.00,896.00,281.00,-24.00,-373.00
105,20134,4161915,-60.00,-484.00,908.00,280.00,-33.00,-369.00
106,20312,4162093,-68.00,-440.00,960.00,283.00,-42.00,-364.00
105,20488,4162269,-96.00,-440.00,952.00,278.00,-40.00,-369.00
105,20665,4162446,-56.00,-484.00,896.00,263.00,-25.00,-380.00
105,20841,4162623,-56.00,-508.00,892.00,256.00,-16.00,-384.00
103,21017,4162799,-68.00,-532.00,896.00,257.00,-7.00,-387.00
104,21192,4162975,-56.00,-508.00,892.00,251.00,-9.00,-392.00
107,21368,4163150,-68.00,-516.00,920.00,250.00,-2.00,-394.00
107,21544,4163326,-72.00,-568.00,880.00,227.00,17.00,-404.00
104,21720,4163502,-64.00,-552.00,844.00,213.00,20.00,-410.00
106,21896,4163678,-64.00,-572.00,880.00,205.00,20.00,-416.00
105,22070,4163854,-80.00,-532.00,892.00,201.00,8.00,-420.00
106,22246,4164028,-116.00,-540.00,908.00,185.00,3.00,-424.00
105,22422,4164204,-80.00,-480.00,908.00,168.00,-11.00,-429.00
104,22598,4164380,-8.00,-448.00,948.00,128.00,-19.00,-435.00
108,22772,4164556,4.00,-436.00,944.00,112.00,-21.00,-434.00
